Date,Bike_Model,Failure_Type,Bike_Mileage,Severity,Repair_Cost
2024-03-14,Bajaj Pulsar,Overheating,1782,High,1082
2024-03-14,Hero Splendor,Reduced Braking,23249,Medium,1011
2024-03-14,Hero Splendor,Vibration,26300,High,552
2024-03-14,Bajaj Pulsar,Overheating,27994,Medium,755
2024-03-15,Honda Shine,Overheating,5313,Medium,605
2024-03-15,Honda Shine,Reduced Braking,49992,High,1015
2024-03-15,TVS Apache,Wear-out,2088,Medium,703
2024-03-15,TVS Apache,Reduced Braking,29387,Medium,776
2024-03-15,TVS Apache,Overheating,34055,High,1214
2024-03-15,Bajaj Pulsar,Reduced Braking,47097,High,1251
2024-03-15,Bajaj Pulsar,Overheating,45293,Medium,524
2024-03-15,Honda Shine,Overheating,15316,High,973
2024-03-15,TVS Apache,Reduced Braking,33583,High,390
2024-03-16,Hero Splendor,Noise,7372,Low,1466
2024-03-16,Hero Splendor,Noise,27521,High,436
2024-03-16,Bajaj Pulsar,Noise,5188,Low,1391
2024-03-17,TVS Apache,Noise,23760,High,1322
2024-03-17,Honda Shine,Reduced Braking,46316,Low,360
2024-03-17,Bajaj Pulsar,Noise,25316,High,848
2024-03-17,TVS Apache,Noise,23413,High,307
2024-03-17,Hero Splendor,Reduced Braking,21567,Medium,268
2024-03-17,Bajaj Pulsar,Noise,15145,High,1481
2024-03-17,Hero Splendor,Reduced Braking,36732,Medium,1217
2024-03-17,Bajaj Pulsar,Noise,35085,High,512
2024-03-17,TVS Apache,Wear-out,15360,Low,817
2024-03-18,TVS Apache,Vibration,14661,Low,676
2024-03-18,Hero Splendor,Vibration,24360,Medium,1150
2024-03-18,TVS Apache,Noise,32336,High,655
2024-03-18,TVS Apache,Wear-out,10816,Low,334
2024-03-18,Honda Shine,Noise,18585,High,316
2024-03-18,Honda Shine,Wear-out,30725,Medium,1053
2024-03-18,Honda Shine,Reduced Braking,27597,Medium,890
2024-03-19,Honda Shine,Wear-out,9431,High,1321
2024-03-19,Bajaj Pulsar,Wear-out,25386,Low,868
2024-03-19,Bajaj Pulsar,Wear-out,17668,Low,1488
2024-03-19,Honda Shine,Overheating,12050,Low,502
2024-03-19,Bajaj Pulsar,Overheating,28246,Medium,1186
2024-03-19,Hero Splendor,Wear-out,40689,High,962
2024-03-19,Honda Shine,Noise,43544,Medium,966
2024-03-19,TVS Apache,Reduced Braking,3192,Low,1220
2024-03-19,Honda Shine,Vibration,9672,Medium,724
2024-03-20,TVS Apache,Noise,21570,Medium,1190
2024-03-20,Hero Splendor,Overheating,29364,Low,216
2024-03-20,Honda Shine,Noise,49856,Low,1397
2024-03-20,Hero Splendor,Noise,28119,Medium,265
2024-03-20,Bajaj Pulsar,Wear-out,41055,High,322
2024-03-21,Hero Splendor,Reduced Braking,38419,High,699
2024-03-21,Honda Shine,Reduced Braking,2466,Low,918
2024-03-21,Bajaj Pulsar,Wear-out,38503,Low,623
2024-03-22,Bajaj Pulsar,Vibration,27928,Low,1095
2024-03-22,Honda Shine,Noise,2490,Medium,1415
2024-03-22,Hero Splendor,Vibration,8664,High,727
2024-03-22,Bajaj Pulsar,Noise,17842,Low,1128
2024-03-22,Bajaj Pulsar,Wear-out,26152,Medium,257
2024-03-22,Bajaj Pulsar,Vibration,47387,Low,1291
2024-03-23,TVS Apache,Noise,21152,High,694
2024-03-23,TVS Apache,Reduced Braking,45372,Medium,234
2024-03-23,Honda Shine,Reduced Braking,49837,Medium,1152
2024-03-23,Bajaj Pulsar,Reduced Braking,47639,High,712
2024-03-23,Hero Splendor,Reduced Braking,10083,High,1352
2024-03-23,Bajaj Pulsar,Wear-out,23780,Medium,1431
2024-03-24,Hero Splendor,Overheating,22199,High,1216
2024-03-24,Hero Splendor,Noise,26317,Low,249
2024-03-24,Honda Shine,Reduced Braking,32594,Low,1425
2024-03-24,TVS Apache,Noise,23042,High,817
2024-03-24,Honda Shine,Vibration,32634,High,848
2024-03-24,Hero Splendor,Overheating,16505,High,318
2024-03-24,TVS Apache,Vibration,29677,High,1500
2024-03-24,Hero Splendor,Overheating,17307,High,701
2024-03-25,Honda Shine,Vibration,21925,High,546
2024-03-25,Bajaj Pulsar,Overheating,49253,Low,1308
2024-03-25,Bajaj Pulsar,Reduced Braking,23623,Low,1056
2024-03-25,Honda Shine,Vibration,38215,Medium,704
2024-03-25,TVS Apache,Noise,35882,High,533
2024-03-25,Honda Shine,Overheating,1884,Medium,787
2024-03-25,Honda Shine,Reduced Braking,6092,Low,475
2024-03-25,Honda Shine,Vibration,48470,High,1084
2024-03-26,Bajaj Pulsar,Reduced Braking,2353,Medium,1446
2024-03-26,TVS Apache,Vibration,30027,Medium,1288
2024-03-26,Hero Splendor,Overheating,40999,Medium,236
2024-03-26,Hero Splendor,Wear-out,38712,Low,299
2024-03-26,Hero Splendor,Reduced Braking,9053,Low,906
2024-03-26,TVS Apache,Noise,33335,High,1416
2024-03-26,Hero Splendor,Vibration,26555,Low,1354
2024-03-26,Honda Shine,Reduced Braking,25489,High,614
2024-03-26,Honda Shine,Noise,41544,Low,294
2024-03-27,Bajaj Pulsar,Vibration,33596,High,629
2024-03-27,Hero Splendor,Overheating,20403,Medium,1303
2024-03-27,TVS Apache,Overheating,9735,High,1048
2024-03-27,TVS Apache,Reduced Braking,34958,Medium,274
2024-03-27,Honda Shine,Wear-out,32960,Medium,621
2024-03-27,Honda Shine,Wear-out,44506,Low,1240
2024-03-27,Honda Shine,Noise,20120,Medium,431
2024-03-27,Bajaj Pulsar,Vibration,49879,High,1395
2024-03-27,Hero Splendor,Reduced Braking,37991,Medium,395
2024-03-28,TVS Apache,Vibration,24203,High,905
2024-03-28,Bajaj Pulsar,Overheating,10009,Medium,696
2024-03-28,TVS Apache,Vibration,5723,High,834
2024-03-28,TVS Apache,Wear-out,3227,Low,978
2024-03-28,Bajaj Pulsar,Overheating,13866,Medium,514
2024-03-28,TVS Apache,Reduced Braking,37721,Low,986
2024-03-29,Honda Shine,Noise,25095,Medium,720
2024-03-29,Bajaj Pulsar,Overheating,20555,Medium,722
2024-03-29,Bajaj Pulsar,Overheating,47367,Medium,1422
2024-03-30,Bajaj Pulsar,Wear-out,19177,Medium,1070
2024-03-30,Bajaj Pulsar,Reduced Braking,34784,High,1368
2024-03-30,Honda Shine,Wear-out,40335,Medium,729
2024-03-30,Bajaj Pulsar,Vibration,33145,Medium,471
2024-03-30,Bajaj Pulsar,Reduced Braking,41370,Low,437
2024-03-30,TVS Apache,Noise,10484,Medium,1073
2024-03-30,Bajaj Pulsar,Overheating,41048,Low,551
2024-03-30,TVS Apache,Wear-out,18681,Medium,582
2024-03-30,Honda Shine,Vibration,48896,Medium,1274
